City,Latitude,Longitude,Max temperature,Humidity,Cloudiness,Wind speed,Country,Date
Talcahuano,-36.7167,-73.1167,51.8,87,0,5.75,CL,1610536255
Barentu,15.1139,37.5928,87.46,18,0,4.5,ER,1610536255
Santa Maria,-29.6842,-53.8069,68.0,88,75,6.91,BR,1610536255
Fethiye,36.6217,29.1164,60.8,63,75,9.22,TR,1610536255
Zholymbet,51.7433,71.7122,-9.33,87,100,4.43,KZ,1610536255
Bambous Virieux,-20.3428,57.7575,84.2,70,20,13.8,MU,1610536256
Arvin,35.2091,-118.8284,43.0,47,62,4.0,US,1610536256
Gijang,35.2442,129.2139,50.0,50,0,13.8,KR,1610536120
Joensuu,62.6012,29.7632,-2.0,71,0,10.36,FI,1610536256
Mocuba,-16.8392,36.9856,87.35,68,96,1.61,MZ,1610536257
Irricana,51.3237,-113.6048,37.99,56,100,15.23,CA,1610536257
Nome,64.5011,-165.4064,12.2,85,100,2.28,US,1610536051
Lodja,-3.4833,23.4333,79.66,84,59,4.81,CD,1610536258
Lebedyn,50.5852,34.4849,25.59,97,100,13.56,UA,1610536258
Santa Rosa,14.3122,121.1114,78.8,73,75,6.91,PH,1610536258
Bawku,11.0616,-0.2417,94.08,9,0,14.27,GH,1610536119
Nueve de Julio,-35.4444,-60.8831,66.0,64,94,10.18,AR,1610536258
Chifeng,42.2683,118.9636,5.95,85,4,3.18,CN,1610536259
Kitimat,54.0524,-128.6534,30.0,96,58,1.48,CA,1610536259
Belgrade,44.804,20.4651,33.8,93,94,12.66,RS,1610536066
Sandy Bay,-42.913,147.3532,66.99,77,90,11.5,AU,1610536260
Lunino,53.5918,45.2271,12.99,43,100,7.87,RU,1610536260
Sagua la Grande,22.8067,-80.0756,69.8,94,1,1.14,CU,1610536260
Koróni,36.8,21.95,59.0,55,40,8.05,GR,1610536260
Tagusao,9.1924,117.8141,80.8,79,52,13.53,PH,1610536260
Harbour Breton,47.4833,-55.7983,31.06,94,40,2.89,CA,1610536054
Torbat-e Jām,35.244,60.6225,53.82,37,0,4.81,IR,1610536261
Rabo de Peixe,37.8,-25.5833,60.8,94,20,4.61,PT,1610536262
Vanimo,-2.6741,141.3028,81.18,79,80,3.04,PG,1610536262
Vaitape,-16.5167,-151.75,81.41,77,99,19.62,PF,1610536262
Isangel,-19.55,169.2667,81.68,80,98,2.66,VU,1610536263
Gao,16.6362,1.637,87.67,12,27,15.57,ML,1610536263
Ciudad Valles,21.9833,-99.0167,53.1,53,86,1.45,MX,1610536263
Mandera,3.9366,41.867,94.1,18,30,14.88,KE,1610536263
Visnes,59.3556,5.2242,30.2,51,52,12.66,NO,1610536263
Anchorage,61.2181,-149.9003,27.0,86,90,3.4,US,1610536264
Gunjur,13.2019,-16.7339,78.8,31,0,8.05,GM,1610536265
Constantine,36.365,6.6147,44.6,76,75,4.61,DZ,1610536265
Namanga,-2.5433,36.7905,80.73,41,39,12.77,KE,1610536265
Capiíbary,-24.8,-56.0333,74.55,89,47,4.79,PY,1610536266
Baruun-Urt,46.6806,113.2792,-11.04,84,0,6.87,MN,1610536040
Angoram,-4.0625,144.0661,78.33,88,94,2.66,PG,1610536268
Burgos,42.3394,-3.7079,32.0,100,20,2.3,ES,1610536269
Praia,14.9215,-23.5087,73.4,60,75,20.71,CV,1610536269
Buala,-8.145,159.5921,80.76,82,89,6.2,SB,1610536269
São João da Barra,-21.6403,-41.0511,82.4,61,0,17.27,BR,1610536270
Arlit,18.7369,7.3853,83.7,13,81,3.47,NE,1610536270
Chimoio,-19.1164,33.4833,80.01,83,75,12.66,MZ,1610536270
Pevek,69.7008,170.3133,-14.37,89,100,7.83,RU,1610536270
Maunabo,18.0072,-65.8993,73.99,87,53,11.79,PR,1610536270
Tineo,43.3376,-6.4145,44.6,70,0,10.36,ES,1610536271
Vyselki,45.5794,39.6597,51.13,77,100,6.13,RU,1610536271
Nara,34.6851,135.8049,42.8,65,20,4.61,JP,1610536194
Tazovsky,67.4667,78.7,14.77,96,100,22.12,RU,1610536271
La Reforma,25.0833,-108.05,50.0,83,61,1.99,MX,1610536272
Chegem,43.2833,43.1333,33.8,100,90,2.24,RU,1610536272
Darhan,49.4867,105.9228,-5.1,86,82,0.25,MN,1610536272
Dhidhdhoo,6.8833,73.1,76.57,91,100,7.11,MV,1610536272
Lugoba,-6.45,38.3333,83.25,67,66,4.97,TZ,1610536272
Broken Hill,-31.95,141.4333,89.6,17,75,23.02,AU,1610536226
Vardø,70.3705,31.1107,3.2,78,97,43.73,NO,1610536017
La Sarre,48.8002,-79.1996,24.24,98,100,8.21,CA,1610536273
Erbaa,40.6689,36.5675,62.6,39,75,25.32,TR,1610536273
Wattegama,6.7989,81.4808,78.8,100,75,4.61,LK,1610536040
Veracruz,19.3333,-96.6667,64.0,61,96,3.0,MX,1610536274
Rosetown,51.5501,-108.0014,23.0,86,52,9.22,CA,1610536055
Tegul'det,57.3064,88.1667,-20.56,87,33,2.86,RU,1610536032
Shumskiy,54.8318,99.1328,-10.79,88,81,1.14,RU,1610536275
Arrondissement de Rodez,44.5,2.5833,45.0,100,90,19.57,FR,1610536275
Adrar,20.5022,-10.0711,70.63,21,1,15.23,MR,1610536275
Reconquista,-29.15,-59.65,71.47,79,22,11.36,AR,1610536275
Ucluelet,48.9329,-125.5528,43.0,84,85,11.99,CA,1610536276
Chelbasskaya,45.9792,39.3719,48.88,78,100,10.83,RU,1610536276
Hambantota,6.1241,81.1185,78.8,100,75,4.61,LK,1610536276
Vilhena,-12.7406,-60.1458,71.76,93,90,1.97,BR,1610536276
Magadan,59.5667,150.8,-4.07,83,23,4.18,RU,1610536277
Ouadda,8.0777,22.4007,104.94,11,0,1.86,CF,1610536277
Nieuw Amsterdam,5.8833,-55.0833,73.4,94,75,10.6,SR,1610536277
Skjervøy,70.0311,20.9714,5.0,66,0,23.02,NO,1610536278
Prince Rupert,54.3161,-130.3201,41.0,93,90,5.75,CA,1610536053
Naliya,23.2667,68.8333,83.25,13,9,10.47,IN,1610536278
Kangaatsiaq,68.3065,-53.4641,19.81,98,100,2.59,GL,1610536278
Quatre Cocos,-20.2078,57.7625,84.2,70,20,13.8,MU,1610536278
Cockburn Town,21.4612,-71.1419,77.32,80,91,13.67,TC,1610536279
Valley City,46.9233,-98.0032,28.4,100,90,6.91,US,1610536279
Gamba,-2.65,10.0,73.4,95,100,9.69,GA,1610536279
Morena,26.4969,78.0,68.49,29,0,6.11,IN,1610536280
Bethel,41.3712,-73.414,30.0,80,90,1.79,US,1610536280
Toguchin,55.2353,84.3858,-18.98,87,4,5.82,RU,1610536280
Ambon City,-3.6954,128.1814,86.0,76,99,1.01,ID,1610536280
Prome,18.8167,95.2167,82.27,49,57,5.32,MM,1610536280
Tura,25.5198,90.2201,63.88,42,0,2.01,IN,1610536281
Hofn,64.2539,-15.2082,33.8,86,90,5.75,IS,1610536281
Skibbereen,51.55,-9.2667,48.2,100,90,10.36,IE,1610536281
Dali,25.7,100.1833,45.16,62,83,2.62,CN,1610536045
Willowmore,-33.2926,23.4895,76.33,61,84,11.3,ZA,1610536282
Malanje,-9.5402,16.341,76.55,56,81,6.73,AO,1610536282
Gresham,45.4982,-122.4315,50.0,76,90,5.75,US,1610536282
Rong Kwang,18.339,100.3174,73.4,49,2,3.44,TH,1610536282
Taksimo,56.3444,114.8794,-24.61,76,44,1.36,RU,1610536282
Yulara,-25.2406,130.9889,102.2,10,0,10.36,AU,1610536283
Avera,33.194,-82.5271,41.0,100,90,4.61,US,1610536283
Dicabisagan,17.0818,122.4157,72.66,84,95,8.14,PH,1610536283
Bonavista,48.6499,-53.1147,26.01,100,93,4.61,CA,1610536053
Bariloche,-41.1456,-71.3082,51.01,87,0,3.44,AR,1610536284
Manyana,-23.4,21.7167,88.18,37,18,12.35,BW,1610536285
Lavrentiya,65.5833,-171.0,-4.07,86,100,8.97,RU,1610536030
Riyadh,24.6877,46.7219,69.8,12,0,10.36,SA,1610536112
Wenling,28.3669,121.36,51.01,66,0,7.27,CN,1610536285
General Roca,-39.0333,-67.5833,62.6,31,0,8.05,AR,1610536286
Tezu,27.9167,96.1667,64.78,57,19,1.3,IN,1610536286
Río Bueno,-40.3167,-72.9667,48.2,93,90,2.3,CL,1610536286
Kem',64.9555,34.5793,-9.63,91,19,4.07,RU,1610536286
Tiznit Province,29.5833,-9.5,56.91,33,0,4.94,MA,1610536287
Krasnosel'kup,65.7,82.4667,10.08,95,100,17.65,RU,1610536287
Mâncio Lima,-7.6142,-72.8958,71.55,97,91,2.15,BR,1610536287
Arica,-18.475,-70.3042,66.2,77,0,1.7,CL,1610536288
Bonthe,7.5264,-12.505,84.87,66,60,2.8,SL,1610536288
Cap Malheureux,-19.9842,57.6142,84.0,70,29,7.0,MU,1610536288
Livingston,55.9029,-3.5226,37.0,93,20,3.42,GB,1610536288
Ciudad Bolivar,8.1222,-63.5497,71.19,86,80,9.22,VE,1610536288
Severo-Yeniseyskiy,60.3725,93.0408,-16.35,89,99,4.23,RU,1610536289
Ocampo,21.65,-101.5,40.5,68,0,3.29,MX,1610536289
Carutapera,-1.195,-46.02,80.73,78,98,6.42,BR,1610536289
De-Kastri,51.4667,140.7833,-3.24,90,100,6.26,RU,1610536289
Nokaneng,-19.6667,22.2667,85.73,49,3,12.35,BW,1610536289
Balyqshy,47.0667,51.8667,32.0,69,40,20.13,KZ,1610536290
Garchitorena,13.8804,123.6946,77.29,86,99,15.46,PH,1610536290
Koson,39.0375,65.585,50.0,57,0,2.3,UZ,1610536290
Khovu-Aksy,51.1333,93.6,3.72,92,100,1.34,RU,1610536290
Barela,23.1,80.05,74.44,20,1,6.53,IN,1610536291
Coolum Beach,-26.5333,153.1,75.99,87,0,1.01,AU,1610536291
Itarema,-2.9248,-39.9167,81.25,72,100,10.58,BR,1610536291
City of San Pedro,14.35,121.0167,78.8,73,75,6.91,PH,1610536291
Port Washington,40.8257,-73.6982,36.0,81,15,3.44,US,1610536292
Charagua,-19.8,-63.2167,69.8,94,90,4.36,BO,1610536292
Qian’an,44.9932,124.0581,0.46,88,25,7.94,CN,1610536292
Mundargi,15.2167,75.9,85.75,32,11,14.52,IN,1610536292
Souris,49.6172,-100.2612,32.0,93,90,5.75,CA,1610536292
Fayaoué,-20.65,166.5333,81.0,84,98,19.51,NC,1610536293
Calamar,10.2511,-74.9146,75.2,100,40,5.53,CO,1610536293
Paidha,2.4167,30.9855,83.89,29,49,6.08,UG,1610536293
Yokadouma,3.5167,15.05,96.85,17,20,4.07,CM,1610536293
Sortland,68.6949,15.4162,32.0,59,0,14.97,NO,1610536017
Saint Anthony,45.0205,-93.218,30.0,100,1,3.04,US,1610536294
Chapais,49.7834,-74.8492,24.8,86,90,10.36,CA,1610536294
San Ramon,37.7799,-121.978,51.01,93,1,0.56,US,1610536294
Hvolsvollur,63.7533,-20.2243,41.0,93,90,40.29,IS,1610536294
Ketchikan,55.3422,-131.6461,33.8,100,1,4.61,US,1610536295
Agustin Codazzi,10.0341,-73.2361,72.34,57,68,3.09,CO,1610536295
Dickinson,29.4608,-95.0513,41.0,81,1,4.68,US,1610536252
Mbinga,-10.9333,35.0167,80.6,69,75,3.44,TZ,1610536295
Presque Isle,46.6811,-68.0159,24.8,86,90,4.52,US,1610536295
Isaccea,45.2667,28.4667,34.0,93,40,14.97,RO,1610536296
Urcos,-13.6861,-71.6228,51.58,70,100,3.53,PE,1610536296
Kifrī,34.6959,44.9661,64.36,31,66,6.08,IQ,1610536296
Kichera,55.9375,110.0997,-14.55,80,95,2.28,RU,1610536296
Bandarbeyla,9.4942,50.8122,78.1,56,0,25.59,SO,1610536297
Zhicheng,30.2956,111.5047,51.75,45,75,2.44,CN,1610536297
Sørland,67.667,12.6934,33.8,75,40,10.36,NO,1610536297
Escalerillas,22.1333,-101.0667,39.2,87,90,4.65,MX,1610536297
Hof,50.3167,11.9167,33.01,93,90,16.11,DE,1610536298
Sterling,39.0062,-77.4286,28.99,86,1,1.77,US,1610536250
Marawi,7.9986,124.2928,80.01,85,100,4.0,PH,1610536298
Saint-Pierre,-21.3393,55.4781,87.8,70,75,6.91,RE,1610536298
Oistins,13.0667,-59.5333,75.2,88,40,12.66,BB,1610536298
Kumbo,6.2,10.6667,82.83,15,0,3.44,CM,1610536299
Kudahuvadhoo,2.6708,72.8944,81.91,76,100,20.11,MV,1610536299
Khuzhir,53.1939,107.3397,2.73,82,99,4.14,RU,1610536299
Kiryat Gat,31.61,34.7642,75.99,35,100,5.01,IL,1610536299
Ýpsonas,34.6884,32.9574,69.8,73,90,18.41,CY,1610536300
Bucecea,47.7667,26.4333,32.0,100,75,4.61,RO,1610536300
Oxapampa,-10.5775,-75.4017,56.37,88,97,3.4,PE,1610536300
Santa Isabel Rio Negro,-0.4139,-65.0192,72.21,96,36,2.08,BR,1610536300
Dekar,-21.5333,21.9333,86.81,44,11,13.49,BW,1610536301
Morondava,-20.2833,44.2833,88.45,61,4,11.81,MG,1610536301
Makat,47.6469,53.3463,20.07,94,87,17.45,KZ,1610536301
Dourbali,11.8091,15.8632,91.62,10,1,9.69,TD,1610536301
Itoman,26.1247,127.6694,60.8,51,75,6.91,JP,1610536301
Lufilufi,-13.8745,-171.5986,78.8,94,40,8.05,WS,1610536302
Vrangel',42.7297,133.0839,27.46,94,100,12.17,RU,1610536302
Tocopilla,-22.092,-70.1979,68.4,61,92,7.4,CL,1610536302
Vestmannaeyjar,63.4427,-20.2734,41.0,93,90,40.29,IS,1610536302
